id,content_type,content,version,is_active
100000,heading,"Part 1:
Roots
Understanding Your Foundation",1,True
100001,heading,"Table of Contents
Overview	2
Day 1 – Work Factors 1	4
Skills and Talents	4
I Transferable Skills	4
II Self Management Skills	8
Knowledges	12
Day 2 – Work Factors 2	15
Environment	15
I Macro: Where in the World...	15
II Micro: the Work Environment You Flourish in	18
People	19
Compensation	20
Day 3 – Priorities, Ecstasy & Flow	22
Prioritize	22
Flow & Ecstasy	23
Memorable Past	23
Recent Past	24
Present	24
Day 4 – Love	25
Family	25
Community	25
World	26
Self	27
Day 5 – Health	28
Sharpening	28
Grittiness	29
Mindfulness	31
Routine	32
Consultation	33
Overview
The first part of the tree is the roots. The roots tell us where we came from, where we have been, and what makes us up. Understanding your roots will help them to grow, furthering the stability of your tree, allowing you to reach ever greater heights. Without our roots, we have nothing to hold us up while we reach for the sky.
Roots are hard. Factual and literal, they are a part of history. Now is not the time for conjecture, imagination, or possibilities; those will come into play later. No two root systems look the same, different people have different needs, skills, and preferences, but the basic components are the same.
With this and every activity, be honest with yourself. Honesty is always the answer. Don't lie and don't exaggerate. Nobody wins when you lie. Give yourself credit for the things you have done. Acknowledge even the smallest accomplishments.
Life designer, Bill Burnett, separates our life into four categories: love, health, work, and play.¹ These will be our four primary roots.",1,True
100002,instruction,"Work is anything related to the creation of value. Work is any economic activity, regardless of your compensation for that activity. Any activities you engage in with the intent of attaining some goal is work. Doing chores, volunteering, earning degrees, and sales are all to be considered work.",1,True
100003,instruction,"Play is nearly the opposite. Play is any activity you engage in for the joy of doing it. If you are competing or trying to accomplish something, then it is not play. Play is what most young children do, without a worry in the world, motivated only by the joy that will come. Of the four parts of life, most adults are worst at play.",1,True
100004,instruction,"Love is mostly for you to define. I cannot, and will not, advise you on matters of love. If you so choose, there are plenty of other resources on the topic. Nonetheless, it is vital for every person and should be considered when planning your future.",1,True
100005,instruction,"Traditionally, health is broken into three categories: physical, mental, and spiritual. To reach the greatest heights, care for all three of these areas. I suggest you consider and look after your physical and spiritual health on your own. There are many resources available in the world to answer any questions you have about physical and spiritual help. Everyone has different physical and spiritual needs, so the exercises here focus on mental health. The importance of health cannot be overstated.",1,True
100006,instruction,"Understanding all four of these parts of your life will help clarify the path in front of you, not to mention how useful it will be to have all of this information in one place. Save your interpretations for later.",1,True
100007,instruction,"Remember, our goal is that this is the last time you ever have to fill all this information out in full. Life demands updates, but power through - the juice really is worth the squeeze.",1,True
100008,instruction,"You can only ever be exactly where you are, so let’s figure out where you’re rooted….",1,True
100009,heading,Module 1 – Work Factors 1,1,True
100010,heading,Skills and Talents,1,True
100011,instruction,"Skills are the most basic unit of performance. Most people think their skills are limited to specific work situations. The goal of this exercise is for you to take full stock of all of your skills, take note of the ones you enjoy the most, and to present them professionally.",1,True
100012,instruction,"According to researcher Sydney Fine, skills can be broken down into three categories: Knowledges, Self-management, and Transferable Skills.²",1,True
100013,instruction,"-Knowledges are the topics you know, generally nouns.",1,True
100014,instruction,"Spanish, chemical engineering, graphic design.",1,True
100015,instruction,"-Self-management skills describe the way you do your work, generally adjectives/adverbs.",1,True
100016,instruction,"Relentless, innovative, meticulous.",1,True
100017,instruction,"-Transferable skills are the things you can do, generally verbs.",1,True
100018,instruction,"Teach, paint, repair, negotiate.",1,True
100019,instruction,Knowledge is knowing a second language. Self-Management is how often and diligently you practice. Transferable skill is using your second language to some benefit.,1,True
100020,instruction,All of these are important.,1,True
100021,instruction,"First, we want active verbs describing work you can do.",1,True
100022,instruction,→ extensive List of Skills for ideas ←,1,True
100023,heading,I    Transferable Skills,1,True
100024,instruction,1. Record any talent you have used professionally. This is your experience,1,True
100025,instruction,"a) List every job you have had, every significant project you have completed. Write down every course, program, training, and degree you have completed or are currently working through.",1,True
100026,instruction,"b) For each item from part a), write down everything you had to do.",1,True
100027,instruction,"c) Every task you completed is a skill you have. Let's lock these in and grade your mastery of those skills. Don't fret over this, trust your gut and move through them. None of this defines your world, we're just building a profile",1,True
100028,instruction,"2. Think of a time you overcame a challenge (inside or outside of work), a time you soared, for each of the following statements. One challenge per statement.",1,True
100029,instruction,a) A time when you had an impact,1,True
100030,instruction,b) A time you did something no one else around could have done,1,True
100031,instruction,c) A time when you were genuinely excited,1,True
100032,instruction,d) A time when you impressed yourself,1,True
100033,instruction,e) A time when everything went according to plan,1,True
100034,instruction,f) A time when nothing went according to plan,1,True
100035,instruction,g) A time when you loved what you were doing,1,True
100036,instruction,h) A time you did something you would like to do again,1,True
100037,instruction,i) A time you did something you would not normally do,1,True
100038,instruction,j) Any other story which represents your skillset,1,True
100039,instruction,3. Choose the three (3) most impactful stories and describe these events using the anagram SOARED.,1,True
100040,instruction,Situation – describe the situation,1,True
100041,instruction,Obstacle – describe the obstacle/problem you faced,1,True
100042,instruction,Action – describe your action: the step by step process you took to address the obstacle,1,True
100043,instruction,Result – describe the result of your actions,1,True
100044,instruction,Evaluation – your self evaluation and/or how higher-ups received your actions,1,True
100045,instruction,Discovery – describe what you discovered from the process,1,True
100046,instruction,4.  Record every transferable skill you used in each of your stories. Refer to the List of Skills for reference.,1,True
100047,instruction,5. Organize your skillset from the most used to the least used.,1,True
100048,instruction,6. These are the 10 or so skills you have mastered. Adjust mastery above if you feel like these are off or we are missing something?,1,True
100049,instruction,7. Use the ranking grid to organize these skills by importance to you.,1,True
100050,heading,II    Self Management Skills,1,True
100051,instruction,These are often referred to as Soft Skills. You can find lists of common soft skills that random internet people claim will get you any job. Describing ourselves can be difficult. Doing so originally and authentically can be even more challenging.,1,True
100052,instruction,Self Identification Basics:,1,True
100053,instruction,"The Enneagram, Myers-Briggs, the Big 5, and the Self Directed Search are the most commonly used personality tests. Each has its strengths and weaknesses, and are more alike than they are different.",1,True
100054,instruction,"We will be using an adaptation of Myers-Briggs as a tool to help us learn about ourselves. It will help you frame your personality in a way which is easier to understand and give you a starting place for finding creative ways to describe yourself. I do not put my full faith into any skills test for many reasons, so remember, this is only a tool. No personality test is perfect. We will use an adaptation of the Myers-Briggs to give you a starting point for your Self-Inventory.",1,True
100055,instruction,No personality test is perfect. We will use an adaptation of the Myers-Briggs to give you a starting point for your Self-Inventory.,1,True
100056,instruction,The questionnaire will assign you a four-letter code upon completion. Each letter represents your bias on a set of four scales.,1,True
100057,instruction,Extroversion (E) vs. Introversion (I),1,True
100058,instruction,Sensing (S) vs. Intuition (N),1,True
100059,instruction,Thinking (T) vs. Feeling (F),1,True
100060,instruction,Judging (J) vs. Perceiving (P),1,True
100061,instruction,The purpose of this exercise is to illuminate your character traits and to open your mind to possibilities.,1,True
100062,instruction,"While taking the test, it is essential to answer the questions honestly, as they apply to you. There are no wrong answers. Although some of your responses may make you slightly uncomfortable, it is crucial to be as honest as you are able. The more accurate you are, the more this tool can help you.",1,True
100063,instruction,"Few people fit their type perfectly. Do not let the results define you. Instead, consider the truths and make a note of the differences.",1,True
100064,instruction,www.16personalities.com⁴,1,True
100065,instruction,Write your four letter MBTI code here:,1,True
100066,instruction,"(The website where you take the test is a useful resource, feel free to learn about your type from them, but it is not necessary for this program.  We don't sponsor each other in any way.)",1,True
100067,instruction,"To be more confident, read through each of these relative dichotomies and mark yourself on each scale below.",1,True
100068,instruction,"Extraverts are more likely to be energized by company, enjoy being the center of attention, keep a fast pace, and talk more than they listen.",1,True
100069,instruction,"Introverts are more likely to be energized by alone time, be more private, keep their thoughts to themselves, and listen before speaking.",1,True
100070,instruction,Sensors tend to be concerned with certainty and what is realistic. They tend to be more literal and are oriented towards the present situation.,1,True
100071,instruction,Intuitives tend to be concerned with innovation and what is possible. They tend to be more figurative and are oriented towards the future.,1,True
100072,instruction,"Thinkers are likely to be most concerned with logic, applying impersonal analysis to opportunities and decisions. They can be seen as detached or heartless.",1,True
100073,instruction,"Feelers are likely to be most concerned with harmony, empathizing with involved parties with tact when making decisions. May be seen as overemotional, valuing all feelings equally.",1,True
100074,instruction,Judgers tend to derive the most satisfaction with the completion of a task and manage their time as a finite resource.,1,True
100075,instruction,Perceivers prefer to keep their options open and thrive when adapting to new situations. They often view time and deadlines as elastic.,1,True
100076,instruction,"Remember, no test can tell you who you are, but these tools can help you describe your talents and identify your weaknesses.",1,True
100077,instruction,"You can dig into 16personalities to find some self management skills that may, or may not apply to you.",1,True
100078,instruction,"1. Review these. Record any characteristics, strengths, and weaknesses which describe you here.",1,True
100079,instruction,a) Characteristics,1,True
100080,instruction,{list_builder}{prompt with skills associated with type},1,True
100081,instruction,b) Strengths,1,True
100082,instruction,{list_builder}{prompt with skills associated with type},1,True
100083,instruction,c) Weaknesses,1,True
100084,instruction,{list_builder}{prompt with skills associated with type},1,True
100085,instruction,"2. These are the remaining characteristics, strengths, or weaknesses which match your MBTI type, but you didn't select above. Reflect and explain why they are false.",1,True
100086,instruction,3. Choose your ten favorite soft skills from above,1,True
100087,instruction,Let's rank these --,1,True
100088,instruction,4. Use your Self Management Skills to accurately describe your top ten Transferable Skills.,1,True
100089,instruction,5. Make a note of times you used your skills in the way you describe.,1,True
100090,instruction,(possibly from your written stories),1,True
100091,instruction,6. Add HONEST hard figures to your descriptions. Numbers. Data. Records. Accomplishments. They must be HONEST. You do not want to lie or exaggerate.,1,True
100092,heading,Knowledges,1,True
100093,instruction,"Now dive into what you know. The subject matter, the processes, your interests, everything. It is imperative to include everything you know here (or at least as much as possible).",1,True
100094,instruction,"-Knowledges are the things you know, generally nouns.",1,True
100095,instruction,"Spanish, chemical engineering, graphic design",1,True
100096,instruction,From work. From your education.,1,True
100097,instruction,From your hobbies. From your interests.,1,True
100098,instruction,From any of your groups or clubs.,1,True
100099,instruction,"If it comes to mind, write it down.",1,True
100100,instruction,You want to start broad. Take stock of everything first.,1,True
100101,instruction,Then grade them according to Mastery.,1,True
100102,instruction,"1. a) Write every skill, process, or task you had to perform for those jobs.",1,True
100103,instruction,"2. a) Write every skill, process, or task you had to perform pursuing education.",1,True
100104,instruction,"3. Knowledge is far reaching, likely further than what you have considered before in a professional manner, let's stretch your mind a bit to find what else you know....",1,True
100105,instruction,a) What are your favorite hobbies?,1,True
100106,instruction,b) What do you research in your free time?,1,True
100107,instruction,"c) If you wrote a book, what would the content be?",1,True
100108,instruction,d) What tasks or activities seem to make time fly?,1,True
100109,instruction,"4. What fields, careers, or industries sound interesting to you? Check the personality resource for ideas.",1,True
100110,instruction,5. Grade each knowledge on Mastery.,1,True
100111,heading,Module 2 – Work Factors 2,1,True
100112,heading,Environment,1,True
100113,instruction,"""Location, location, location"" - every realtor ever",1,True
100114,instruction,[DEPRECATED - merged into 100113],1,True
100115,instruction,[DEPRECATED - merged into 100113],1,True
100116,instruction,There are two types of location. Micro and Macro,1,True
100117,instruction,Macro – where in the world do you want to be? Do you want to stay in your town or city? Or would you rather be somewhere else? Are there specific activities you wish to have access to? Do you need to live in a city? Or do you prefer the quiet life of the country?,1,True
100118,instruction,Micro – what should your work environment be? Do you need to spend time outside? Is it necessary that you work near a park? Or do you prefer to spend your time indoors? What are your preferred working conditions?,1,True
100119,instruction,"Of course, the more flexible you are, the more opportunities you will find. Also, generally speaking, where there are more people, there are more opportunities. Still, it is essential to know your preferences; you might find your dream job in your dream location. There is only one way to find out.",1,True
100120,instruction,"Do this exercise even if you feel you already know where you want to be. First of all, you might surprise yourself. If not, then you have found more evidence to support what you already thought.",1,True
100121,heading,I    Macro: Where in the World...,1,True
100122,instruction,Do you know where you want to live?,1,True
100123,instruction,"a) If you do, write that here. If not, write down the characteristics of a place that you might want to live. (ex. by the ocean, has an active nightlife, quiet, access to nature, etc.)",1,True
100124,instruction,b) What are your location restraints?,1,True
100125,instruction,c) Do you need to live in a specific country?,1,True
100126,instruction,d) Do you need to stay close to your family?,1,True
100127,instruction,e) Do you have medical needs?,1,True
100128,instruction,"Struggling for ideas? Even if you are 100% certain, do the following:",1,True
100129,instruction,a) Write down every place you have lived.,1,True
100130,instruction,b) List every single thing you disliked about those places. (What does it have? What does it lack? What type of people are there? What feelings does it give you?),1,True
100131,instruction,"c) List the opposites of each of the location traits you dislike. Also, list any positive traits that come to mind.",1,True
100132,instruction,d) Rank the positive location traits.,1,True
100133,instruction,Research. Open your mind to possibilities. Find as many good ideas as possible. Look for places that meet your needs and have as many of your top 5 location traits as possible.,1,True
100134,instruction,a) Search the Internet.,1,True
100135,instruction,-Search for places which excel in each of your desired traits. Make lists.,1,True
100136,instruction,-Are there any which excel in multiple?,1,True
100137,instruction,-Find 5-10 places which make you excited. Record what excites you about each location.,1,True
100138,instruction,"b) Ask around. Family, friends, colleagues, acquaintances, you never know what treasure they hold until you ask.",1,True
100139,instruction,-Write down your ranked list of location traits and ask 10-20 people if they know of anywhere which has those traits. Write down their ideas. ALWAYS thank them for their time and effort.,1,True
100140,instruction,-Are there any locations which excel in multiple traits?,1,True
100141,instruction,-Research each of the locations which embody multiple of your desired traits.,1,True
100142,instruction,-Find 5-10 places which make you excited. Record what excites you about each location.,1,True
100143,instruction,Narrow down your two lists to a single list of 10 possible locations. Rank those ten from most exciting down.,1,True
100144,heading,IF YOU HAVE A PARTNER,1,True
100145,instruction,– Before you make a list of locations – Before you start researching –,1,True
100146,instruction,-Both of you do numbers 1 & 2 separately.,1,True
100147,instruction,-Discuss your preferred location traits. Find any similarities.,1,True
100148,instruction,-Rank your combined traits. (combine the top 5 from each partner),1,True
100149,instruction,-Then both of you complete number 3,1,True
100150,instruction,-Do number 4 together. Compare your findings. Discuss honestly. Agree upon ten possible locations. Rank together.,1,True
100151,instruction,"Pay the most attention to, make a special note of, your top 3 locations.",1,True
100152,heading,II    Micro: the Work Environment You Flourish in,1,True
100153,instruction,Now we will focus on the look and feel of the workplace.,1,True
100154,instruction,"For each of the following, consider each productive space you have ever had. You may include classrooms, a desk at home, a library, or a cafe. Any space where you get work done is worth studying.",1,True
100155,heading,Previous Employment,1,True
100156,instruction,a) List every job you have had.,1,True
100157,instruction,"b) List every work condition which had a positive impact upon you, your mood, or your effectiveness.",1,True
100158,instruction,"c) List every work condition which had a negative impact upon you, your mood, or your effectiveness.",1,True
100159,instruction,d) What would the opposite of those negative influences be?,1,True
100160,instruction,Consider the above. Describe your ideal workplace.,1,True
100161,instruction,a) How does the office look?,1,True
100162,instruction,b) What is nearby?,1,True
100163,instruction,c) Are there any important features?,1,True
100164,instruction,d) What part of the city or town is best?,1,True
100165,instruction,e) Is it near child care?,1,True
100166,instruction,f) What else can you think of?,1,True
100167,heading,People,1,True
100168,instruction,"For many, we spend more time with the people we work with than the people we live with. For that reason, aim to have a clear idea of whom you work well with, what types of people can help you to be more productive, and what kinds of people have a negative influence on your work and life.",1,True
100169,instruction,"Simply understanding these things does not guarantee that you will love your next co-workers, but it certainly helps to know what you are looking for.",1,True
100170,instruction,"It is also essential to understand the type of people you like to work for. You work for your boss, and you work for your client, customer, pupil, audience, family, organization, etc. You work for the people who depend on you to do your job.",1,True
100171,instruction,"Some people thrive in competitive environments while others need emotional support. Some people need specific direction, and others need to be left to their expertise. Some people work extraordinarily well in groups, and others prefer solitary labor.",1,True
100172,instruction,"This exercise is designed to help you identify the sorts of people you are productive with and for, and those you are not.",1,True
100173,instruction,Refer to your complete list of experiences from Module 1.,1,True
100174,instruction,"Review each job or experience you have had. Recall and record the traits of the people who hurt your productivity in any way. Maybe you didn't like them, but do not focus on who they are. You need to pinpoint what about them made your work less productive. List the harmful character traits.",1,True
100175,instruction,Write the antonym of each of the traits from number 1.,1,True
100176,instruction,Review each job or experience you have had. Recall and record the traits of the people who helped your productivity in any way.,1,True
100177,instruction,"Recall any time when you were particularly productive. The production can be from your education, the stories you wrote before, or work experience. Who was directing you? Were you serving anyone (client, etc.)?",1,True
100178,instruction,What traits do the people from 4 have that support a positive work environment?,1,True
100179,instruction,What types of people do you want to work with?,1,True
